Handlock	Mill Rogue	5	60.0
Handlock	Giants Shaman	1	100.0
Handlock	Murloc Paladin	5	20.0
Handlock	Cube Warlock	14	21.42
Handlock	Spiteful Priest	18	27.77
Handlock	Elemental Shaman	1	100.0
Handlock	Deathrattle Warrior	1	0.0
Handlock	Dragon Priest	7	28.57
Handlock	Midrange Hunter	4	0.0
Handlock	Zoo Warlock	8	12.5
Handlock	Elemental Priest	2	0.0
Handlock	Secret Hunter	5	60.0
Handlock	Aggro Paladin	3	33.33
Handlock	Miracle Rogue	2	50.0
Handlock	Aggro Shaman	1	100.0
Handlock	Pirate Warrior	2	100.0
Handlock	Big Spell Mage	5	20.0
Handlock	Demon Warlock	4	25.0
Handlock	Aggro Hunter	9	55.55
Handlock	Jade Druid	11	18.18
Handlock	Exodia Mage	7	28.57
Handlock	Secret Mage	14	50.0
Handlock	OTK DK Paladin	2	50.0
Handlock	Tempo Rogue	8	0.0
Handlock	Highlander Priest	11	36.36
Handlock	Big Priest	7	42.85
Handlock	Fatigue Warrior	1	0.0
Handlock	N'Zoth Paladin	1	0.0
Handlock	Token Shaman	5	60.0
Handlock	Aggro Druid	8	50.0
Silence Priest	Mill Rogue	6	50.0
Silence Priest	Giants Shaman	3	33.33
Silence Priest	Deathrattle Rogue	2	100.0
Silence Priest	Murloc Paladin	9	22.22
Silence Priest	Cube Warlock	17	64.7
Silence Priest	Spiteful Priest	31	45.16
Silence Priest	Elemental Shaman	1	0.0
Silence Priest	Dragon Priest	12	50.0
Silence Priest	Midrange Hunter	15	40.0
Silence Priest	Spell Hunter	3	33.33
Silence Priest	Zoo Warlock	21	33.33
Silence Priest	Elemental Priest	6	83.33
Silence Priest	Secret Hunter	3	66.66
Silence Priest	Aggro Paladin	13	7.69
Silence Priest	Miracle Rogue	5	80.0
Silence Priest	Pirate Warrior	5	60.0
Silence Priest	Big Spell Mage	7	57.14
Silence Priest	Demon Warlock	7	71.42
Silence Priest	Aggro Hunter	14	28.57
Silence Priest	Recruit Warrior	1	0.0
Silence Priest	Jade Druid	22	68.18
Silence Priest	Exodia Mage	9	66.66
Silence Priest	Secret Mage	18	22.22
Silence Priest	OTK DK Paladin	3	66.66
Silence Priest	Tempo Rogue	35	14.28
Silence Priest	Highlander Priest	24	58.33
Silence Priest	Big Priest	2	0.0
Silence Priest	N'Zoth Paladin	5	0.0
Silence Priest	Token Shaman	10	70.0
