Deck 1	Deck 2	Number of Games	Player 1 WIN_RATE	Player 1 GAMES_WON	Player 1 GAMES_LOST	Player 1 DAMAGE_DEALT	Player 1 HEALING_DONE	Player 1 MANA_SPENT	Player 1 CARDS_PLAYED	Player 1 TURNS_TAKEN	Player 1 ARMOR_GAINED	Player 1 CARDS_DRAWN	Player 1 FATIGUE_DAMAGE	Player 1 MINIONS_PLAYED	Player 1 SPELLS_CAST	Player 1 HERO_POWER_USED	Player 1 WEAPONS_EQUIPPED	Player 1 WEAPONS_PLAYED	Player 1 CARDS_DISCARDED	Player 2 WIN_RATE	Player 2 GAMES_WON	Player 2 GAMES_LOST	Player 2 DAMAGE_DEALT	Player 2 HEALING_DONE	Player 2 MANA_SPENT	Player 2 CARDS_PLAYED	Player 2 TURNS_TAKEN	Player 2 ARMOR_GAINED	Player 2 CARDS_DRAWN	Player 2 FATIGUE_DAMAGE	Player 2 MINIONS_PLAYED	Player 2 SPELLS_CAST	Player 2 HERO_POWER_USED	Player 2 WEAPONS_EQUIPPED	Player 2 WEAPONS_PLAYED	Player 2 CARDS_DISCARDED
Elemental Priest	Jade Druid	10000	0.0554	554	9446	1120671	176618	651956	356123	159769	9158	204648	18033	221612	124725	118687	58	17	445	0.9446	9446	554	612181	1250	827553	276946	162744	185124	247734	34912	232826	154776	48742	4	2	14
Big Priest	Spiteful Priest	10000	0.1199	1199	8801	941463	185375	523080	220277	138762		134943	11087	62900	116365	83919	548	548		0.8798	8798	1202	405808	52243	611442	230732	142252		142472	5543	286547	22257	73570	569	481	29
Aggro Paladin	Secret Mage	10000	0.7732	7732	2268	381195		325460	162483	105390		118651	208	220591	39179	26287	19789	19332		0.2267	2267	7733	711447	881	316709	198250	103283		121190	4912	158078	64882	58516	2355	2315	
Murloc Paladin	Exodia Mage	10000	0.9506	9506	494	195168		357463	175910	109296		156637	19831	270041	31827	16453	10039	10039		0.048	480	9520	644037	82	366270	210852	105969	35840	145175	1988	133962	85323	61640			
Miracle Rogue	Exodia Mage	10000	0.4232	4232	5768	524095	213	595099	320363	144656	1640	278155	109386	285721	160486	39859	39728	170	2	0.5712	5712	4288	746248	152	622633	310965	143363	51177	206708	9363	238126	130506	76316	81	81	
Aggro Druid	Midrange Hunter	10000	0.2826	2826	7174	787201		270492	163111	99781	25646	104526		225934	44457	25646				0.7165	7165	2835	614969	2055	315009	143549	101062		101062		223381	7773	25804	14916	14916	
Miracle Rogue	Secret Mage	10000	0.2548	2548	7452	480625	127	376129	214787	109818	1109	162789	5719	172950	107674	30595	30588	93	8	0.7452	7452	2548	584700	632	386434	220815	110452	29	132582	7439	199497	70966	55392	2577	2577	15
Tempo Rogue	Highlander Priest	10000	0.8962	8962	1038	393201	6051	502727	234587	133270		134146	33	347387	32602	37648	36411	150		0.1037	1037	8963	1042427	143849	473318	274827	130231	4311	170259	10181	184665	92863	92584	45	25	257
Miracle Rogue	Jade Druid	10000	0.0983	983	9017	670102	1682	471335	260318	125540	6087	203088	25367	220241	129258	36416	36205	159		0.9014	9014	986	687054		597969	198728	126400	125964	189813	8847	191042	106363	33896			
Aggro Hunter	Jade Druid	10000	0.451	4510	5490	606933		381373	172846	114693		114693		226044	23054	31983	17220	17220		0.548	5480	4520	865041		502518	171197	114868	111817	169463	6456	148318	97546	31644			
Miracle Rogue	Demon Warlock	10000	0.1884	1884	8116	716634	5407	521185	299465	151417	251	246164	59265	259500	148580	48572	47631	144	2227	0.8113	8113	1887	975197	212181	745066	233850	150557		197035	11557	283886	82474	39695	285	285	
Tempo Rogue	Spiteful Priest	10000	0.2155	2155	7845	905215	4723	392966	191685	110567		110961	27	284679	28582	29233	28784	130	2	0.7845	7845	2155	744005	48532	403574	178545	111351		113724	150	228235	11730	61546	152	91	11
Zoo Warlock	Miracle Rogue	10000	0.9554	9554	446	378747	690	278092	152676	90281		126283	8	250113	14782	20086			21980	0.0446	446	9554	569970	2984	253660	161259	87367	33	119079	1044	116767	85282	23300	23199	64	1248
Token Shaman	Midrange Hunter	10000	0.3761	3761	6239	923922	10568	394554	193730	113049	1228	130232	364	258505	64440	30216	9388	9323	202	0.6236	6236	3764	744521	2540	378191	166339	113885	278	114177	1	260596	9504	30781	17158	17146	29
Cube Warlock	Midrange Hunter	10000	0.2254	2254	7746	1112304	204424	441826	172392	117857		161376	7575	204406	56406	35368	3379	3379	12966	0.7741	7741	2259	589449	1164	400387	173665	119255		119191	92	269067	9470	33117	17957	17957	
Murloc Paladin	Demon Warlock	10000	0.6201	6201	3799	522240		438266	215134	129387		164062	70781	334718	38023	32259	12565	12565		0.3794	3794	6206	1051786	179214	568045	188051	127078		166864	8806	204561	73243	33941	240	240	
Dragon Priest	Big Priest	10000	0.8416	8416	1584	494076	60163	689556	253182	153735		153008	7145	314855	25693	79761	620	536	68	0.1577	1577	8423	1004849	207010	597987	243109	150756		145784	14456	74942	128385	90591	665	664	9
Cube Warlock	Exodia Mage	10000	0.7983	7983	2017	963726	305696	779702	276045	172410		239807	78939	355649	85251	52976	6040	6040	20951	0.1969	1969	8031	1002212	9946	799584	384771	174605	61960	233951	46999	255686	170009	97737			4280
Elemental Priest	Cube Warlock	10000	0.177	1770	8230	1235994	202796	722886	391792	175030	7757	218543	32798	243350	134627	132789	176	126	975	0.8223	8223	1777	959049	271007	776935	276068	176802	94	233661	24843	343837	78581	57531	5729	5726	21730
Cube Warlock	Mill Rogue	10000	0.7647	7647	2353	780032	258094	717320	254243	154434		228000	74127	339225	71154	42028	4703	4703	25952	0.2337	2337	7663	582307	18134	530782	298110	151300		187437	4656	211512	123027	41554	64725	23171	
